Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
09/07/2024 09:25,297.9994,9613.48,7681.43857,923.10143,-955.47,ACTUAL
09/07/2024 09:30,260.55244,9612.47,7672.00247,907.55753,-977.62,ACTUAL
09/07/2024 09:35,274.54,9526.03,7619.8516,967.3884,-898.68,ACTUAL
09/07/2024 09:40,299.98,9457.43,7682.24373,976.06627,-774.26,ACTUAL
09/07/2024 09:45,266.96744,9426.69,7516.56201,1034.26799,-846.22,ACTUAL
09/07/2024 09:50,238.07386,9325.95,7361.69169,1059.94831,-862.69,ACTUAL
09/07/2024 09:55,104.04,9224.63,7235.86062,1106.54938,-840.37,ACTUAL
09/07/2024 10:00,104.96,9281.14,7272.01162,1123.96838,-842.14,ACTUAL
09/07/2024 10:05,105.7401,9211.58,7264.03276,1193.08724,-720.46,ACTUAL
09/07/2024 10:10,105,9135.45,7223.61239,1202.60761,-679.44,ACTUAL
09/07/2024 10:15,106.7401,9085.77,7167.09468,1243.55532,-642.54,ACTUAL
09/07/2024 10:20,104.04004,9051.49,7038.54482,1377.04518,-604.57,ACTUAL
09/07/2024 10:25,105,8944.36,6870.19346,1362.65654,-676.16,ACTUAL
09/07/2024 10:30,104.18418,8806.89,6803.06912,1244.09088,-717.48,ACTUAL
09/07/2024 10:35,69.47202,8767.25,6657.00253,1360.25747,-708.12,ACTUAL
09/07/2024 10:40,166.66312,8952.84,6742.72444,1454.50556,-721.18,ACTUAL
09/07/2024 10:45,142.95986,9004.53,6691.87119,1569.51881,-707.05,ACTUAL
09/07/2024 10:50,138.89729,8955.84,6691.32946,1466.13054,-756.72,ACTUAL
09/07/2024 10:55,133.27588,8863.61,6691.43915,1515.31085,-627.75,ACTUAL
09/07/2024 11:00,125.71012,8787.38,6690.18471,1395.04529,-671.58,ACTUAL
09/07/2024 11:05,230.4969,8854.82,6676.05761,1430.03239,-711.91,ACTUAL
09/07/2024 11:10,118.64928,8827.86,6666.38054,1778.35946,-369.84,ACTUAL
09/07/2024 11:15,99.23077,8677.69,6610.19138,1731.97862,-325.39,ACTUAL
09/07/2024 11:20,95.0979,8563.77,6573.61777,1694.96223,-283.12,ACTUAL
09/07/2024 11:25,98.95477,8508.66,6531.95211,1685.48789,-280.57,ACTUAL
09/07/2024 11:30,100.00354,8447.01,6538.5515,1549.1185,-345.27,ACTUAL
09/07/2024 11:35,178.13,8455.8,6556.11767,1441.31233,-439.58,ACTUAL
09/07/2024 11:40,156.32,8281.05,6549.16461,1362.77539,-354.71,ACTUAL
09/07/2024 11:45,156.32,8309.37,6581.70298,1322.60702,-389.76,ACTUAL
09/07/2024 11:50,154.13695,8238.19,6594.21518,1313.53482,-318.41,ACTUAL
09/07/2024 11:55,125.47534,8302.78,6600.9485,1478.6215,-216.56,ACTUAL
09/07/2024 12:00,202.86,8420.17,6607.54229,1542.43771,-263.61,ACTUAL
09/07/2024 12:05,202.64,8429.17,6579.30019,1511.55981,-330.44,ACTUAL
09/07/2024 12:10,263.52978,8366.2,6567.25086,1432.59914,-355.39,ACTUAL
09/07/2024 12:15,199.99,8438.53,6545.52468,1362.25532,-508.7,ACTUAL
09/07/2024 12:20,95.96566,8334.18,6493.69692,1451.41308,-372.63,ACTUAL
09/07/2024 12:25,101.15034,8291.12,6455.887,1436.613,-381.02,ACTUAL
09/07/2024 12:30,95.10512,8217.06,6417.31359,1492.15641,-292.4,ACTUAL
09/07/2024 12:35,80,8193.4,6290.75764,1666.24236,-221.74,ACTUAL
09/07/2024 12:40,80,8082.58,6203.90646,1572.46354,-289.65,ACTUAL
09/07/2024 12:45,76.72,8051.77,6163.75969,1584.59031,-287.27,ACTUAL
09/07/2024 12:50,63.78512,8051.92,6056.20563,1641.17437,-337.49,ACTUAL
09/07/2024 12:55,73.95601,7970.71,5956.84446,1653.02554,-344.49,ACTUAL
09/07/2024 13:00,78.47,7985.08,6069.12642,1569.46358,-331.2,ACTUAL
09/07/2024 13:05,76.71,7912.6,6006.5019,1505.1581,-383.6,ACTUAL
09/07/2024 13:10,76.71,7901.04,6017.92809,1439.18191,-426.17,ACTUAL
09/07/2024 13:15,54.00039,7811.81,5899.51469,1543.34531,-355.13,ACTUAL
09/07/2024 13:20,54.64,7763.01,5815.87614,1628.12386,-309.27,ACTUAL
09/07/2024 13:25,96.98062,7676.98,5962.82565,1526.81435,-181.08,ACTUAL
09/07/2024 13:30,98.38997,7758.83,6123.56875,1397.83125,-230.43,ACTUAL
09/07/2024 13:35,97.90055,7726.39,6197.5986,1333.6914,-190.8,ACTUAL
09/07/2024 13:40,78,7831.14,6208.36538,1360.86462,-256.43,ACTUAL
09/07/2024 13:45,54.00023,7780.96,6089.57374,1381.90626,-303.87,ACTUAL
09/07/2024 13:50,78,7896.93,6167.68452,1277.55548,-441.52,ACTUAL
09/07/2024 13:55,76.72,7968.98,6152.42117,1355.53883,-449.65,ACTUAL
09/07/2024 14:00,53.99984,7889.16,5938.56648,1368.88352,-565.56,ACTUAL
09/07/2024 14:05,57.15252,7992.3,5960.59621,1382.65379,-628.13,ACTUAL
09/07/2024 14:10,58.0901,7827.1,5902.03538,1447.80462,-468.07,ACTUAL
09/07/2024 14:15,56.98,7827.1,5904.07086,1367.22914,-540.28,ACTUAL
09/07/2024 14:20,104.37386,7889.58,5963.73006,1295.27994,-610.83,ACTUAL
09/07/2024 14:25,65.78946,7855.11,5988.59839,1305.14161,-546.57,ACTUAL
09/07/2024 14:30,81.29,7963.43,6091.91293,1388.28707,-473.46,ACTUAL
09/07/2024 14:35,64.84159,8031.64,6110.21937,1422.15063,-489.15,ACTUAL
09/07/2024 14:40,66.95771,8055.33,6169.64635,1495.42365,-385.4,ACTUAL
09/07/2024 14:45,87.89,8144.79,6302.41611,1434.22389,-403.29,ACTUAL
09/07/2024 14:50,78,8207.7,6306.02855,1462.72145,-433.22,ACTUAL
09/07/2024 14:55,97.40263,8137.54,6442.16933,1362.64067,-331.23,ACTUAL
09/07/2024 15:00,102.2831,8280.02,6595.22166,1244.56834,-436.66,ACTUAL
09/07/2024 15:05,78,8265.93,6670.62158,1216.88842,-376.54,ACTUAL
09/07/2024 15:10,76.71018,8392.49,6725.72162,1133.36838,-527.22,ACTUAL
09/07/2024 15:15,60,8288.58,6695.79702,1139.94298,-449.63,ACTUAL
09/07/2024 15:20,76.71,8454.7,6795.75497,1160.90503,-493.68,ACTUAL
09/07/2024 15:25,50.46094,8378.26,6817.50212,1179.89788,-378.75,ACTUAL
09/07/2024 15:30,50.2252,8390.78,6865.03916,1169.20084,-355.16,ACTUAL
09/07/2024 15:35,59.5,8493.47,6890.62263,1069.44737,-529,ACTUAL
